INSTANCE ;  LB ; S ; TT_S ; TTB_S ; Dev_S ; BFS ; TTB_BFS ; Dev_BFS ; Nb_OPT/10
 ; -858993460 ; 0,000000 ; 0,000000 ; 0,000000 ; -100,000000 ; -858993460 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -0,000000 ; 0
 ; -858993460 ; 0,000000 ; 0,000000 ; 0,000000 ; -100,000000 ; -858993460 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -0,000000 ; 0
 ; -858993460 ; 0,000000 ; 0,000000 ; 0,000000 ; -100,000000 ; -858993460 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -0,000000 ; 0
 ; -858993460 ; 0,000000 ; 0,000000 ; 0,000000 ; -100,000000 ; -858993460 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -0,000000 ; 0
 ; -858993460 ; 0,000000 ; 0,000000 ; 0,000000 ; -100,000000 ; -858993460 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -0,000000 ; 0
 ; -858993460 ; 0,000000 ; 0,000000 ; 0,000000 ; -100,000000 ; -858993460 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -0,000000 ; 0
Average : 
 -  ; -838042385,439024 ; 14,560976 ; 0,003659 ; 0,003622 ; -97,560976 ; -838042385,439024 ; -90302079365188075000000000000000000000000000000000000000000000,000000 ; 0,000000 ; 
INSTANCE ;  LB ; S ; TT_S ; TTB_S ; Dev_S ; BFS ; TTB_BFS ; Dev_BFS ; Nb_OPT/10
la03.txt ; 597 ; 597,000000 ; 0,156200 ; 0,154600 ; 0,000000 ; 597 ; 0,047000 ; 0,000000 ; 10
 ; -858993460 ; 0,000000 ; 0,000000 ; 0,000000 ; -100,000000 ; -858993460 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -0,000000 ; 0
 ; -858993460 ; 0,000000 ; 0,000000 ; 0,000000 ; -100,000000 ; -858993460 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -0,000000 ; 0
 ; -858993460 ; 0,000000 ; 0,000000 ; 0,000000 ; -100,000000 ; -858993460 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -0,000000 ; 0
 ; -858993460 ; 0,000000 ; 0,000000 ; 0,000000 ; -100,000000 ; -858993460 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -0,000000 ; 0
 ; -858993460 ; 0,000000 ; 0,000000 ; 0,000000 ; -100,000000 ; -858993460 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -0,000000 ; 0
 ; -858993460 ; 0,000000 ; 0,000000 ; 0,000000 ; -100,000000 ; -858993460 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -0,000000 ; 0
 ; -858993460 ; 0,000000 ; 0,000000 ; 0,000000 ; -100,000000 ; -858993460 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -0,000000 ; 0
 ; -858993460 ; 0,000000 ; 0,000000 ; 0,000000 ; -100,000000 ; -858993460 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -0,000000 ; 0
 ; -858993460 ; 0,000000 ; 0,000000 ; 0,000000 ; -100,000000 ; -858993460 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -0,000000 ; 0
 ; -858993460 ; 0,000000 ; 0,000000 ; 0,000000 ; -100,000000 ; -858993460 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -0,000000 ; 0
 ; -858993460 ; 0,000000 ; 0,000000 ; 0,000000 ; -100,000000 ; -858993460 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -0,000000 ; 0
 ; -858993460 ; 0,000000 ; 0,000000 ; 0,000000 ; -100,000000 ; -858993460 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -0,000000 ; 0
 ; -858993460 ; 0,000000 ; 0,000000 ; 0,000000 ; -100,000000 ; -858993460 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -0,000000 ; 0
 ; -858993460 ; 0,000000 ; 0,000000 ; 0,000000 ; -100,000000 ; -858993460 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -0,000000 ; 0
 ; -858993460 ; 0,000000 ; 0,000000 ; 0,000000 ; -100,000000 ; -858993460 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -0,000000 ; 0
 ; -858993460 ; 0,000000 ; 0,000000 ; 0,000000 ; -100,000000 ; -858993460 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -0,000000 ; 0
 ; -858993460 ; 0,000000 ; 0,000000 ; 0,000000 ; -100,000000 ; -858993460 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -0,000000 ; 0
 ; -858993460 ; 0,000000 ; 0,000000 ; 0,000000 ; -100,000000 ; -858993460 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -0,000000 ; 0
 ; -858993460 ; 0,000000 ; 0,000000 ; 0,000000 ; -100,000000 ; -858993460 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -0,000000 ; 0
 ; -858993460 ; 0,000000 ; 0,000000 ; 0,000000 ; -100,000000 ; -858993460 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -0,000000 ; 0
 ; -858993460 ; 0,000000 ; 0,000000 ; 0,000000 ; -100,000000 ; -858993460 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -0,000000 ; 0
 ; -858993460 ; 0,000000 ; 0,000000 ; 0,000000 ; -100,000000 ; -858993460 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -0,000000 ; 0
 ; -858993460 ; 0,000000 ; 0,000000 ; 0,000000 ; -100,000000 ; -858993460 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -0,000000 ; 0
